,0
spell_checker,0.974
sentence_count,62
ttr,0.677
cttr,9.275
ttr-lemma,0.235
ttr-NOUN,0.299
word_count,691
words_per_sentence,11.145
words_per_sentence no stop words,6.048
not_stop_words,"['Seit', 'Dienstagabend', 'Hambacher', 'Forst', 'leer', 'Dreieinhalb', 'Wochen', 'gedauert', 'Baubehörden', 'Polizei', 'Aktivisten', 'vertrieben', 'Baumhäuser', 'abgerissen', 'Energiekonzern', 'RWE', 'Braunkohletagebau', 'Rodung', 'Waldes', 'beginnen', ' ', 'Der', 'Preis', 'Für', 'Einsatz', 'rückten', 'Tausende', 'Polizisten', 'gesamten', 'Bundesgebiet', 'Sie', 'räumten', '86', 'Baumhäuser', 'sprachen', '873', 'Platzverweise', 'nahmen', '144', 'Personen', 'fest', '27', 'Polizisten', 'verletzt', 'Dutzend', 'Aktivisten', 'Vor', 'Wochen', 'starb', 'Journalist', 'Sturz', 'Hängebrücke', 'Einsatz', 'filmen', ' ', 'Die', 'Räumung', 'sagen', 'Macht', 'durchgezogen', 'Widerstände', 'Seit', 'stellt', 'Frage', 'Warum', 'bloß', ' ', 'Das', 'Oberverwaltungsgericht', 'Münster', 'RWE', 'Rodung', 'vorerst', 'verboten', 'Der', 'Grund', 'Der', 'Konzern', 'belegt', 'Rodung', 'Energieversorgung', 'Gefahr', 'Erst', 'Jahren', 'RWE', 'endgültige', 'Entscheidung', 'fallen', ' ', 'Für', 'RWE', 'Beschluss', 'Niederlage', 'Für', 'nordrhein-westfälische', 'Landesregierung', 'Blamage', ' ', 'Im', 'Video', 'Pressekonferenz', 'BUND', 'Rodungsstopp', '  ', 'Video', 'abspielen', 'Video', 'REUTERS', ' ', 'Die', 'Politik', 'Hambacher', 'Forst', 'eigentlich', 'klare', 'Verhältnisse', 'schaffen', 'Umweltschützer', 'raus', 'Kohlebagger', 'rein', 'laufen', 'schnell', 'Mitte', 'September', 'Landesregierung', 'Auftrag', 'Wald', 'räumen', 'lassen', 'Schließlich', 'Ministerpräsident', 'Armin', 'Laschet', 'CDU', 'rot-grüne', 'Vorgängerregierung', 'Jahren', 'RWE', 'zugesichert', 'Konzern', 'Tagebau', 'geplant', 'roden', 'baggern', 'dürfe', ' ', 'Dass', 'Münster', 'Oberverwaltungsgericht', 'Beschwerde', 'Umweltschutzorganisation', 'BUND', 'entschieden', 'Egal', 'dachte', 'Landesregierung', 'Falsch', 'gedacht', ' ', 'Video', 'Hambi', 'bleibt', 'Streit', 'Hambacher', 'Forst', '  ', 'Video', 'abspielen', 'Video', 'Deutsche', 'Welle', ' ', 'Statt', 'klarer', 'Verhältnisse', 'Regierung', 'Menge', 'unangenehmer', 'Fragen', 'gefallen', 'lassen', 'Warum', 'Düsseldorf', 'Entscheidung', 'Gerichts', 'gewartet', 'Hat', 'versucht', 'Justiz', 'hinwegzusetzen', 'Welches', 'Verständnis', 'Rechtsstaatlichkeit', 'steckt', 'Und', 'lässt', 'Rodung', 'vorerst', 'verboten', 'Polizeieinsatz', 'rechtfertigen', 'Einsatzkräfte', 'Anfang', 'komplett', 'überflüssig', 'hielten', ' ', 'Unverständnis', 'schlug', 'Ablehnung', 'Ablehnung', 'Wut', ' ', 'Für', 'Politik', 'Wäldchen', 'Köln', 'Aachen', 'gewaltiges', 'Problem', 'Symbol', 'Und', 'Umweltverbänden', 'Aktivisten', 'Sturmhauben', 'Menschen', 'bislang', 'Naturschutz', 'Schon', 'Räumung', 'Baumhäuser', 'wuchs', 'Unverständnis', 'Wald', 'Geschichte', ' ', 'Zunächst', 'kamen', 'Wochenenden', 'paar', 'Hundert', 'Menschen', 'sogenannten', 'Waldspaziergängen', 'Aktivisten', 'Holzhütten', 'solidarisierten', 'Sie', 'verstanden', 'Bäume', 'schmutzige', 'Braunkohle', 'fallen', '  ', 'Protestspaziergang', 'Ende', 'September', 'Postboten', 'Lehrerinnen', 'ihren', 'Kindern', 'DPA', ' ', 'Protestspaziergang', 'Ende', 'September', 'Postboten', 'Lehrerinnen', 'ihren', 'Kindern', ' ', 'Und', 'schnell', 'Schließlich', 'lotet', 'Kommission', 'derzeit', 'Auftrag', 'Bundesregierung', 'Zeitplan', 'Kohleausstieg', 'Solange', 'Experten', 'Ergebnis', 'gekommen', 'fordern', 'Umweltschützer', 'Hambacher', 'Forst', 'Bäume', 'fallen', ' ', 'Doch', 'Landesregierung', 'Düsseldorf', 'Man', 'müsse', 'Baumhäuser', 'räumen', 'fehlenden', 'Brandschutzes', 'Viele', 'Menschen', 'hielten', 'vorgeschoben', 'Fehlender', 'Brandschutz', 'Baumhäusern', 'Warum', 'einfach', 'Seite', 'RWE', 'steht', 'Das', 'Unverständnis', 'schlug', 'Bürgern', 'Ablehnung', ' ', 'Inzwischen', 'strömen', 'jedes', 'Wochenende', 'mehrere', 'Tausend', 'Demonstranten', 'Hambacher', 'Forst', 'Die', 'Baumhäuser', 'geräumt', 'zerstört', 'Protest', 'geblieben', 'sogar', 'gesteigert', 'Es', 'Postboten', 'Lehrerinnen', 'Transparente', 'Braunkohle', 'RWE', 'hochhalten', 'Leute', 'Hause', 'Schrebergarten', 'stehen', 'Wald', 'sagen', 'Das', 'gefallen', 'lassen', 'Staatsmacht', 'aufstehen', ' ', 'Die', 'Ablehnung', 'Wut', 'gesteigert', 'Die', 'Bilder', 'Waldbeschützer', 'Stieleichen', 'Hainbuchen', 'Polizeiketten', 'Weg', 'stellen', 'mittlerweile', 'Welt', ' ', 'So', 'Landesregierung', 'mal', 'hinbekommen']"
